attr_typename,data variables,data variables,data variables,variable:threshold,data variables,global,global,global,global,global,global,global,global,global,global,global,global,global
diff-pr95ptot,difference in precipitation fraction due to very wet days,,%,95,endring i nedbørandel fra veldig våte dager,"Prosentvis endring i prosentandel av nedbør på svært våte dager (antall dager med nedbør over 95-persentilen) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Percentage change in the percentage fraction of precipitation on very wet days (number of days with precipitation exceeding the 95 percentile) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i nedbørandel fra veldig våte dager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in precipitation fraction due to very wet days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-pr997,change in very heavy precipitation,,%,99.7,endring i svært kraftig nedbør,"Prosentvis endring i 99,7 persentil for døgnnedbør mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Percentage change in the 99.7 percentile of daily precipitation for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i svært kraftig nedbør for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in very heavy precipitation averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-pr997p,difference in days with very heavy precipitation,,1,99.7,differanse i døgn med svært kraftig nedbør,"Endring i antall dager med nedbør over 99,7 persentil for hele året (pr>99,7p) for referanseperioden, mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Difference in the number of days with heavy precipitation given as daily precipitation exceeding the 99.7 percentile for the whole year (pr>99.7p) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i døgn med svært kraftig nedbør for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in days with very heavy precipitation averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-pr20mm,difference in days with heavy precipitation,,1,20,differanse i døgn med kraftig nedbør,"Endring i antall dager med nedbør over eller lik 20 mm (pr >= 20 mm) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Change in the number of days with daily precipitation above or equal to 20 mm (pr>=20mm) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i døgn med kraftig nedbør for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in days with heavy precipitation averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-prmax5day,change in maximum 5-day precipitation amount,,%,,endring i høyeste femdagers nedbørsum,"Prosentvis endring i høyeste nedbørmengde i løpet av 5 påfølgende dagern mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Percentage change in the highest annual precipitation amount over five consecutive days, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i høyeste femdagers nedbørsum for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in maximum 5-day precipitation amount averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Julia Lutz, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > PRECIPITATION INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sfcWind,change in mean wind speed ,,%,,endring i middelvind,"Prosentvis endring i gjennomsnittlig vind (ca 10 meter over bakken) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in mean wind speed (ca. 10 meters above ground) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i middelvind for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in mean wind speed  averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sfcWind99,change in strong wind,,%,99,endring i kraftig vind,"Prosentvis endring i 99 persentil for døgnmiddelvind, mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in the 99 percentile of daily wind speed, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i kraftig vind for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in strong wind averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sfcWind997,change in very strong wind ,,%,99.7,endring i svært kraftig vind,"Prosentvis endring i 99,7 persentil for døgnmiddelvind, mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in the 99.7 percentile of daily wind speed, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i svært kraftig vind for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in very strong wind averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020. ","Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sfcWind100yrRP,change in the 100-year return level for wind speed ,,m/s,,differanse i 100-års returverdi for vind,"Endring i gjennomsnittlig 100-år returverdi av døgnmiddelvind mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. ","Percentage change in the 100-year return values of daily mean wind speed between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i 100-års returverdi for vind for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in the 100-year return level for wind speed  averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-sfcWind10ms,change in windy days,,%,10,endring i døgn med mye vind,"Prosentvis endring i antall dager med middelvind over 10 m/s (sfc > 10m/s), mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in the number of days with mean wind speed above 10 m/s, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"endring i døgn med mye vind for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal change in windy days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Jan Erik Haugen, Andreas Dobler","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > WIND INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-mrro,change in mean runoff amount,,%,,endring i avrenning,"Prosentvis endring i gjennomsnittlig avrenningsum mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in mean runoff amount between the reference period (1991-2020) and a future period for year or season, at a 1x1 km spatial resolution The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i avrenning for år eller årstider, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > TERRESTRIAL HYDROSPHERE INDICATORS > FRESHWATER RUNOFF, GCMDSK:EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > SURFACE WATER > SURFACE WATER PROCESSES/MEASUREMENTS > RUNOFF, GEMET:geological / hydrological, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-mrro,difference in mean runoff amount,,kg m-2,,differanse i avrenning,"Endring i gjennomsnittlig avrenningsum mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. (kg m-2 tilsvarer mm)","Change in mean runoff amount between the reference period (1991-2020) and a future period for year or season, at a 1x1 km spatial resolution The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. (kg m-2 equals mm)",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Endring i avrenning for år eller årstider, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > TERRESTRIAL HYDROSPHERE INDICATORS > FRESHWATER RUNOFF, GCMDSK:EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > SURFACE WATER > SURFACE WATER PROCESSES/MEASUREMENTS > RUNOFF, GEMET:geological / hydrological, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
change-evap,change in mean evapotranspiration amount ,,%,,endring i fordampning,"Prosentvis endring i gjennomsnittlig fordampningsum mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Percentage change in mean evapotranspiration amount between the reference period (1991-2020) and a future period for year or season, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Endring i fordampning for år eller årstider, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WATER VAPOR > WATER VAPOR PROCESSES > EVAPOTRANSPIRATION, GEMET:geological / hydrological, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-swemax,difference in annual maximum snow water equivalent,,kg m-2,,differanse i største årlige snømengde ,"Endring i gjennomsnittlig årlig maksimal snømengde (mm vann snøen representerer den dagen i året det er maksimalt med snø) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. (kg m-2 tilsvarer mm)","Change in the mean annual maximum snow water equivalent between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. (kg m-2 equals mm)",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i største årlige snømengde for år, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > CRYOSPHERIC INDICATORS, GCMDSK:EARTH SCIENCE > CRYOSPHERE > SNOW/ICE > SNOW WATER EQUIVALENT, GEMET:Change Over Time In Surface Snow Amount, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-swe60ge,difference in ski season,,1,60,differanse i skisesongens lengde,"Endring i skisesong mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Skisesong defineres som gjennomsnittlig antall døgn per år med snøvannekvivalent over 60 mm (tilsvarer snødybde cirka 25 cm, når tettheten settes til 0,25 kg/L).","Change in the mean annual number of skiing days between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Skiing days are defined as days with snow water equivalent more than 60 mm (equals snow depth more than 25 cm when the snow density is assumed 0.25 kg/L).",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i skisesongens lengde for år, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > CRYOSPHERIC INDICATORS > SNOW COVER, GCMDSK:EARTH SCIENCE > CRYOSPHERE > SNOW/ICE > SNOW COVER, GEMET:geological / hydrological, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-swe120ge,difference in ski touring season,,1,120,differanse i topptursesongens lengde,"Endring i gjennomsnittlig antall toppturskidager i året mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Toppturskidager defineres som gjennomsnittlig antall dager per år med snømengde over 120 mm (tilsvarer snødybde cirka 50 cm, når tettheten settes til 0,25 kg/L).","Change in the mean annual number of ski mountaineering days between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Ski mountaineering days are defined as days with snow water equivalent more than 120 mm (equals snow depth more than 50 cm when the snow density is assumed 0.25 kg/L).",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i topptursesongens lengde for år, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > CRYOSPHERIC INDICATORS > SNOW COVER, GCMDSK:EARTH SCIENCE > CRYOSPHERE > SNOW/ICE > SNOW COVER, GEMET:geological / hydrological, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-mrso,difference in summer soil moisture content,,kg m-2,,differanse i markvannsinnhold,"Endring i gjennomsnittlig markvannsinnhold om sommeren (mai, juni, juli, august og september) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. (kg m-2 tilsvarer mm)","Change in the mean soil moisture content in summer (May, June, July, August and September) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. (kg m-2 equals mm)",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i markvannsinnhold for sommersesongen, under utslippsscenario {scenario}.",,"Shaochun Huang, Wai Kwok Wong","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > SOIL MOISTURE, GCMDSK:EARTH SCIENCE > LAND SURFACE > SOILS > SOIL MOISTURE/WATER CONTENT, GEMET:Soil Moisture Content, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-mrro30plt,difference in hydrological drought duration,,day,30,differanse i varighet av hydrologisk tørke ,"Endring i gjennomsnittlig tørkevarighet 15. juni til 15. oktober mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Tørkevarighet er definert som antall sammenhengende dager med avrenning under 30-persentilen for referanseperioden. Beregningen er basert på 11-dagers glidende midling av daglig avrenning.","Change in the mean drought duration in summer (15. June to 15. October) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Drought duration is defined as number of consecutive days with runoff below the 30th percentile from the flow duration curve for the reference period. The computation is based on smoothed daily runoff using the 11-day moving average procedure.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Differanse i varighet av hydrologisk tørke for 15. juni til 15. oktober, under utslippsscenario {scenario}.",,"Wai Kwok Wong, Shaochun Huang","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Water Resources and Energy Directorate (NVE)","climatedata@nve.no, climatedata@nve.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > DROUGHT DURATION, GCMDSK:EARTH SCIENCE > HUMAN DIMENSIONS > NATURAL HAZARDS > DROUGHTS > DROUGHT DURATION, GEMET:drought, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-spei7plt,difference in severe meteorological drought ,,1,,varighet av meteorologisk tørke ,"Indeks for meteorologisk tørke (SPEI3 < -1.5 standardavvik), for 1x1 km romlig oppløsning. Indeksen gir differanse i forekomst av alvorlig meteorologisk tørke i sommermånedene mai, juni, juli, august og september.","Index for severe meteorological drought (SPEI3 < -1.5 standard deviations) at a 1x1 km spatial resolution. This index gives the difference in the frequency of severe meteorological drought during May, June, July, August and September between the reference period (1991-2020) and a future period. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"Alvorlig meteorologisk tørke for sommersesongen, under utslippsscenario SSP3-7.0.",Seasonal severe meteorological drought under forcing scenario SSP3-7.0.,"Ole Einar Tveito, Irene Brox Nilsen","Norwegian Meteorological Institute (MET Norway), Norwegian Water Resources and Energy Directorate (NVE)","klimavakten@met.no, climatedata@nve.no","GCMDSK:Earth Science > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > DROUGHT SEVERITY, GEMET:Hydrography, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
